lons,lats
-149.5895714327746,-17.016790575230907
-149.5899791,-17.016539750000003
-149.5900277254901,-17.016742853448537
-149.58909732263209,-17.016204744150016
-149.58950045,-17.01653125
-149.58928355,-17.01403105
-149.5904279343192,-17.016740375429954
-149.59008884999997,-17.01622565
-149.58863384999998,-17.015844450000003
-149.589475,-17.0162877
-149.58977662468493,-17.016255153361932
-149.59207831651625,-17.014808188637833
-149.5915458247587,-17.021384803431307
-149.59185694674295,-17.022876699184163
-149.59177228333874,-17.02291854998811
-149.59220048018696,-17.022643258854277
-149.59212054420811,-17.022692983893837
-149.59239896032958,-17.022393185559505
-149.59247889339335,-17.02234347061706
-149.59280639218062,-17.02224903307587
-149.59312125,-17.02211485
-149.5934266124623,-17.022074921862075
-149.59537849236395,-17.0228618881367
-149.59484605,-17.02252205
-149.5940553408868,-17.02210757406194
-149.5937571,-17.022075400000002
-149.59415941852373,-17.0179337616937
-149.59433109999998,-17.01818635
-149.59448933346476,-17.018445453607438
-149.59476023346474,-17.018635253607442
-149.59493056653525,-17.01890194639256
-149.59511698354729,-17.019096903112736
-149.59536506663235,-17.019281495962183
-149.59558901642737,-17.0195315970893
-149.59580495,-17.019727800000002
-149.59598603354047,-17.01995350315324
-149.59611475,-17.020188149999996
-149.59616305,-17.02045105
-149.596214,-17.021020399999994
-149.59618045000002,-17.020753700000004
-149.59624085000002,-17.021314099999998
-149.59623815,-17.021612849999997
-149.5963597,-17.022489349999997
-149.59633029999998,-17.02221095
-149.59624385,-17.0219061
-149.5959610363746,-17.023177732785577
-149.5957391664873,-17.023232376125982
-149.5961578,-17.022787599999997
-149.594639608286,-17.022323436286197
-149.59521235,-17.02260935
-149.5956969,-17.022117849999997
-149.59129819999998,-17.0167674
-149.5902708538344,-17.022013831350264
-149.59135790000002,-17.018774200000003
-149.5912282,-17.0187895
-149.5910805,-17.0188071
-149.5914541,-17.01897624999999
-149.59140792720413,-17.019083147292392
-149.59127739501486,-17.019080722736376
-149.59104315000002,-17.01894145
-149.59112464999998,-17.019035049999996
-149.59558561330044,-17.022354562776563
